rank,grade,usernme,uploads,subscribers,top_views
1265,B+ ,EvanTubeHD,715,6.55M,4136762843
1266,A- ,elcarteldesantatv,285,6.55M,2664438231
1267,B ,Gnews,8080,6.54M,875513973
1268,A- ,BanderitaX,1072,6.53M,1363866459
1269,B ,Cellbit,123,6.52M,275587094
1270,A- ,Ksysha Kids TV,140,6.52M,1724313441
1271,A- ,RCM Music Bhojpuri,9206,6.52M,2061073131
1272,A- ,Venus Bhojpuri,584,6.52M,1841197314
1273,B+ ,Official Sabyan gambus,11,6.52M,1276415527
1274,B ,MotorTrend Channel,2141,6.52M,1131376397
1275,A- ,Jugnu Kids - Nursery Rhymes and Be…,663,6.52M,2541448955
1276,B+ ,TheShooterCoC,324,6.51M,579612037
1277,B+ ,Belgas TV,1168,6.51M,737279431
1278,B+ ,Netflix Latinoamérica,1827,6.5M,432864801
1279,A ,Chloe Ting,291,6.5M,500251555
1280,A- ,DJSnakeVEVO,40,6.5M,5213335543
1281,A- ,NFL,18075,6.5M,4256972500
1282,A- ,Hindi Fairy Tales,275,6.5M,2285885660
1283,B ,Bigorneaux & Coquillages,266,6.49M,856236049
1284,A- ,justintimberlakeVEVO,68,6.49M,4485209534
1285,A ,Sony AATH,5062,6.48M,3591212134
1286,A ,Troom Troom SELECT,951,6.48M,1978529245
1287,B ,Daniel Howell,130,6.48M,661572483
1288,A- ,NAGASWARA Official Video | Indones…,1459,6.48M,2917890363
1289,B+ ,LOLiTO FDEZ,950,6.47M,748949285
1290,D- ,CREATIVE POSTER FILMS - BEEQ,7,6.47M,32394
1291,A- ,Total Gaming,638,6.46M,623056061
1292,B ,حول العالم !؟,528,6.46M,724508950
1293,B+ ,Canal Clash War,1498,6.46M,586467920
1294,A- ,Sonotek Music,814,6.46M,1540032230
1295,B+ ,Basim Karbalaei / باسم الك�…,978,6.46M,2022119359
1296,A- ,AmusementForce,7336,6.45M,4100103705
1297,A ,BeckyGVEVO,78,6.45M,6583177413
1298,B+ ,CloeCouture,341,6.45M,964348654
1299,B+ ,Funketon,545,6.45M,1780745203
1300,B+ ,iJustine,1901,6.45M,1166651712
1301,A ,CantaJuegoVEVO,462,6.44M,4596873440
1302,B+ ,Bruno Correa,941,6.44M,487742198
1303,A- ,WIRED,3042,6.43M,1976963453
1304,A ,Disney Junior LA,1602,6.42M,3408133129
1305,A- ,Franco Escamilla,1239,6.42M,1678038195
1306,A- ,Piso 21,77,6.42M,4598086040
1307,A- ,iGAMING TV,62,6.42M,1678598989
1308,A ,Family Box,689,6.41M,4848238881
1309,B+ ,قناة المجلة,1131,6.41M,1067235970
1310,A- ,Dr. Sandra Lee (aka Dr. Pimple Pop…,1052,6.41M,1993977109
1311,A- ,SoyFredy,328,6.41M,1060618400
1312,B+ ,Philip DeFranco,2739,6.41M,2861801879
1313,A- ,Sonotek Punjabi,1158,6.41M,2113145107
1314,A ,HeHaa TV,618,6.4M,2526771759
1315,A- ,loveliveserve,610,6.4M,1265924750
1316,A ,Nirahua Music World,553,6.4M,3272015172
1317,A- ,platinumrecordsmusic,491,6.4M,3167462191
1318,A ,Pinkfong! Canciones Infantiles,706,6.4M,2226078853
1319,B+ ,TAE,1862,6.39M,1319743159
1320,A ,YOLO AVENTURAS,189,6.39M,773897618
1321,A- ,BakLol Video,169,6.39M,1410910702
1322,B+ ,Matthew Santoro,933,6.39M,1436482069
1323,B+ ,VRZOchannel,1242,6.39M,2120603798
1324,A- ,MostAmazingTop10,3621,6.38M,2054006296
1325,B+ ,kemas pake z,616,6.38M,544571631
1326,B ,TobyGames,5200,6.38M,2047460753
1327,A ,Great Indian Comedy,634,6.37M,1404458385
1328,A- ,Painzeiro,350,6.37M,704100339
1329,A- ,DeGoBooM,2059,6.36M,1973998939
1330,B ,UKF Dubstep,1161,6.36M,1961196030
1331,A- ,خليجية,15546,6.36M,1040248563
1332,A- ,MessYourself,914,6.36M,2073422668
1333,A ,Patati Patatá,404,6.36M,4372734550
1334,A- ,TeluguOne,37359,6.36M,4003042425
1335,A- ,Amixem,492,6.35M,1477981620
1336,A- ,ICC,2799,6.34M,1633424110
1337,B+ ,Gregory Kessey,168,6.33M,327792294
1338,B+ ,Ludmilla,110,6.33M,1659757016
1339,B ,speedyw03,1886,6.33M,1580939744
1340,B+ ,Katie OnTheRoad,307,6.33M,491285131
1341,A- ,PANJI PETUALANG,579,6.32M,840890630
1342,B+ ,TomSka,165,6.32M,1588962434
1343,C+ ,Troy Time,6,6.31M,717988
1344,A ,Biper y sus Amigos,71,6.31M,2429303111
1345,B+ ,Universe Adventure,344,6.31M,879862881
1346,B+ ,ChrisFix,331,6.31M,921297952
1347,B+ ,КЛИККЛАК,253,6.31M,908734934
1348,A ,TiempodeSol,202,6.31M,2680025038
1349,B ,D&B Studio,109,6.3M,322979892
1350,A- ,RK Duggal Studios,762,6.3M,1482757065
1351,A- ,Minguado,1164,6.3M,1571911899
1352,A ,Zappy Toons - Hindi Nursery Rhymes…,82,6.3M,2003904625
1353,A- ,Gorillaz,193,6.3M,2364761335
1354,B+ ,Don Omar,112,6.29M,358904999
1355,B+ ,MORGENSHTERN,68,6.29M,488871839
1356,B ,Sandaroo Kids,3314,6.29M,7116592927
1357,B+ ,ElChurches,2190,6.29M,1797678285
1358,A- ,Soolking Officiel,28,6.28M,933785735
1359,A- ,Matheus Mazzafera,1990,6.27M,942386471
1360,A ,Fischer's-フィッシャーズ-,2098,6.27M,9435042457
1361,B+ ,Mamix?,7,6.27M,43744933
1362,B ,Funny Sofia Show,55,6.27M,1291626052
1363,B ,Tobuscus,525,6.27M,1419328795
1364,A- ,AWESMR kids,2411,6.26M,4296448481
1365,A- ,Cartoon Network LA,2182,6.26M,1738202705
1366,B+ ,Sungha Jung,1140,6.26M,1725541769
1367,B+ ,YL Toys Collection,52,6.26M,1301525500
1368,A- ,เรื่องเล่าเ�…,78142,6.26M,4089468778
1369,A- ,BETO GAMER,2619,6.25M,1389376093
1370,B ,Mimonona Stories,406,6.25M,1827080640
1371,A- ,Ivana Alawi,41,6.25M,265818147
1372,A- ,Quantum Tech HD,299,6.24M,1631583269
1373,A- ,Cat Music,2018,6.24M,6228312959
1374,A ,KjraGaming,2238,6.24M,3338953332
1375,A ,GMA News,327449,6.23M,5676556643
1376,B+ ,SciShow,2296,6.23M,1216122247
1377,A ,KanalD,16922,6.22M,8259191377
1378,B ,TOYS on the go!,885,6.22M,4050403800
1379,A ,Al Jazeera Arabic قناة الج�…,118737,6.22M,2138988473
1380,B+ ,Kim Loaiza,3,6.22M,251628534
1381,A- ,Kodak Black,271,6.22M,3062578794
1382,B+ ,SnoopDoggTV,1524,6.22M,886883294
1383,B ,Fun Kids House,1070,6.21M,1828797203
1384,A- ,Times Music,1538,6.21M,1973792224
1385,A- ,Avocado Couple I Crazy Comics,197,6.21M,1157147252
1386,B+ ,Call of Duty,1339,6.2M,1028982849
1387,B ,Carli Bybel,568,6.2M,613679446
1388,B+ ,FitnessBlender,887,6.2M,1063366340
1389,A- ,Natti Natasha,58,6.2M,4157493399
1390,A- ,videogamedunkey,640,6.2M,2539844708
1391,A ,Cleo y Cuquin - Canciones infantil…,248,6.18M,2799027084
1392,B+ ,Gabbie Hanna,365,6.18M,1093056280
1393,B ,mangelrogel,448,6.17M,398143502
1394,A- ,The Voice Global,465,6.16M,1576561205
1395,A ,The Dodo,5466,6.16M,3055178488
1396,A- ,FrontaL Gaming,392,6.16M,518253765
1397,B ,Jon Vlogs,808,6.16M,685667313
1398,B+ ,Sơn Tùng M-TP Official,82,6.16M,1392524837
1399,A- ,WAMIndiaMovies,671,6.16M,1526989284
1400,B+ ,XtremeGamez,163,6.16M,455771384
1401,B+ ,ZaynVEVO,67,6.16M,3093020240
1402,A- ,PlayToys,957,6.15M,2662948994
1403,A- ,Reynmen,40,6.15M,978386357
1404,B+ ,Guinness World Records,1238,6.15M,1065134857
1405,A- ,Narendra Modi,12354,6.15M,690786686
1406,A ,Hindi Kahaniya,363,6.15M,1853519225
1407,A- ,THE PRINCE FAMILY,767,6.14M,1153740747
1408,A ,हिंदी - Genevieve's Play…,60,6.14M,2278075376
1409,B ,LispyJimmy,2437,6.14M,587150154
1410,B+ ,alanzoka,2843,6.14M,1146693305
1411,B+ ,Ingrid Ohara TV,359,6.13M,407889187
1412,A- ,uJoãozinho,320,6.13M,465017973
1413,A ,CoryxKenshin,1456,6.13M,2624475542
1414,B+ ,RackaRacka,165,6.13M,952472852
1415,A ,ĐÔNG TÂY PROMOTION OFFICIAL,7697,6.12M,3813442059
1416,B+ ,Cátia Damasceno,638,6.12M,420394852
1417,A- ,DjMaRiiO,2467,6.12M,2044428286
1418,B+ ,YourHealth,514,6.11M,574259861
1419,B+ ,JonTronShow,118,6.11M,960068860
1420,A ,Câmeras Escondidas Programa Silvi…,1108,6.1M,3152672237
1421,A ,Kids Channel India - Hindi Rhymes …,244,6.1M,2016414979
1422,A- ,Bhojpuri Movies,528,6.09M,2020447558
1423,A- ,Dessin Animé pour Enfants,46,6.09M,1879136666
1424,A ,Blockbuster Movies,256,6.08M,1338474483
1425,A- ,Shroud,882,6.07M,665076809
1426,A- ,HTV Entertainment,12649,6.06M,3060005782
1427,B ,AVRprankTV,91,6.06M,652962209
1428,B ,Lucas Lira,159,6.06M,282983376
1429,A ,ToysPlay,205,6.06M,3135788604
1430,B+ ,Kenia Os,103,6.06M,341758321
1431,A- ,PojzPlaza,1430,6.05M,1265969584
1432,B ,Kanye West,8,6.05M,35553147
1433,B ,Ali Baba,409,6.04M,1843223822
1434,B+ ,Andrea Zuñiga,78,6.04M,239690725
1435,A- ,Boram Tube [宝蓝和朋友们],173,6.04M,1150541143
1436,A- ,Naiara Azevedo,157,6.04M,1949370659
1437,B+ ,De'arra & Ken 4 Life,254,6.04M,761279724
1438, ,Popular on YouTube - Brazil,--,6.04M,-- 
1439,B+ ,malena010102,3573,6.04M,1010906126
1440,B+ ,TheSaudiReporters | سعودي ر�…,239,6.04M,1019723199
1441,B+ ,1Kilo Oficial,162,6.03M,1256067407
1442,A- ,atv,14421,6.03M,4763900065
1443,B- ,AC/DC,102,6.03M,39936339
1444,A- ,MarkAngelComedy,285,6.03M,1303216171
1445,A- ,Família Paulinho e Toquinho,871,6.03M,2953745365
1446,A- ,jesseyjoyoficial,197,6.02M,3454087158
1447,B+ ,Lucas Lucco,133,6.02M,1652290711
1448,A ,Lyna,3314,6.02M,2478579140
1449,B+ ,Technology Gyan,561,6.01M,328079012
1450,B+ ,Julio Cocielo,74,6.01M,238386532
1451,B ,Alex Aiono,310,6.01M,920089469
1452,A ,Zee Marathi,80214,6.01M,5016891237
1453,B+ ,Receitas de Pai,561,6M,353943842
1454,A- ,MariAndKids,860,6M,1769144337
1455,B+ ,The Timeliners,258,6M,728484961
1456,A ,GamingWithKev,1904,6M,3236354145
1457,A- ,Got Talent España,1438,6M,2203215647
1458,A- ,Bolly Kick,462,5.99M,1694985988
1459,A- ,Tribo da Periferia,65,5.99M,1398179628
1460,B+ ,Gerson Albuquerque,270,5.99M,548007461
1461,B+ ,alpha m.,1258,5.98M,927465774
1462,A- ,Mark Wiens,1058,5.98M,1209147226
1463,A ,Сыендук,230,5.98M,1252467651
1464,B+ ,Esporte Interativo,25688,5.98M,1367806730
1465,A ,JOJO TV - Hindi Stories,544,5.97M,2206463231
1466,A- ,Hau Hoang,55,5.97M,1623855355
1467,A- ,Premium Digiplex Movies,318,5.96M,2098539063
1468,A- ,RoomieOfficial,366,5.96M,735409995
1469,A ,EdisonPts,2699,5.95M,1883864587
1470,A- ,Vinheteiro,478,5.95M,656147387
1471,B ,YRF Music,43,5.94M,200102350
1472,A- ,CNCOVEVO,76,5.94M,5388429318
1473,B ,dope2111,244,5.94M,1654542716
1474,A- ,Machine Gun Kelly,203,5.94M,836891808
1475,B ,Projota,7,5.94M,81373808
1476,A- ,Shadi Srour,128,5.94M,1478680026
1477,A- ,Deli Mi Ne?,239,5.93M,969353085
1478,A- ,Shahid,6092,5.93M,2480052955
1479,A ,Flowers Comedy,5918,5.93M,4634575785
1480,A ,Indoor playground Bella & Misa,43,5.93M,1569703685
1481,B ,KimShantal,77,5.93M,243419495
1482,A- ,Lil Peep,54,5.92M,1710932933
1483,B+ ,Vikkstar123,4731,5.92M,1725476437
1484,B ,John Legend,166,5.92M,31333679
1485,A- ,kevingatesTV,308,5.92M,4337366379
1486,B ,Coby Persin,110,5.92M,1074809680
1487,A ,Blippi Toys,124,5.91M,4815291819
1488,A- ,Familia Diamond,259,5.91M,847444383
1489,A- ,PEACH EAT LAEK,309,5.91M,817410738
1490,A- ,Metallica,1624,5.91M,2836806427
1491,B- ,Harry Styles,4,5.91M,8180773
1492,B ,Funny Vines,109,5.91M,1831879380
1493,B+ ,Sernando,1427,5.91M,767930924
1494,B+ ,Vanh Leg,61,5.91M,1340137727
1495,B+ ,Camilo,31,5.9M,111000918
1496,A- ,INNA,789,5.9M,3322258200
1497,B ,Senya Toys Review,175,5.9M,855051778
1498,A- ,Vosso Canal,2134,5.89M,1158320303
1499,B+ ,PrinceRoyceVEVO,135,5.89M,3875911285
1500,B+ ,FaZe Apex,1854,5.89M,1064623395
1501,A- ,HEARTROCKER,1417,5.89M,1693868303
1502,A- ,FARRUKOVEVO,98,5.88M,3986413141
1503,A- ,VikatanTV,14135,5.88M,4694496414
1504,B+ ,BibisBeautyPalace,831,5.88M,2584568476
1505,B ,The Surprise For Kids,136,5.87M,1379640645
1506,A- ,Hoje é dia de Marias,865,5.87M,1568300183
1507,B- ,Zara Larsson,44,5.87M,98716987
1508,B+ ,Elvish yadav,103,5.87M,463423193
1509,A- ,MissaSinfonia,215,5.87M,706671353
1510,A- ,SagaHits,2226,5.87M,2236783287
1511,B+ ,5 Alguma Coisa,462,5.86M,1371450317
1512,A- ,Bon Appétit,1129,5.86M,1270194897
1513,A ,Julia MineGirl,1773,5.86M,3712056890
1514,A- ,Watch Me,374,5.86M,1779478220
1515,A- ,Bryant Myers,59,5.86M,1529976392
1516,A ,SOMOY TV,49400,5.86M,1560927634
1517,A- ,Crainer,2743,5.85M,1327184978
1518,B ,Jaclyn Hill,355,5.85M,552200527
1519,B+ ,ДНЕВНИК ХАЧА,262,5.85M,952478248
1520,A- ,أسرار لم تكن تعرفها,752,5.85M,1019374457
1521,A- ,Rathore Cassettes,3466,5.85M,2209107220
1522,A- ,BBC News عربي,29873,5.84M,2000614216
1523,B+ ,LanaDelReyVEVO,50,5.84M,3038141584
1524,B ,Bajan Canadian,4276,5.84M,1869062269
1525,A ,Mumbo Jumbo,2035,5.84M,1656453721
1526,A ,Disney Junior España,1969,5.83M,3400687922
1527,B ,Kid Studio,37,5.83M,1063056097
1528,D- ,ToysToSee,518,5.82M,3842332315
1529,A- ,Little Miss Sofia,141,5.82M,1267786475
1530,B+ ,Lance Stewart,1061,5.82M,1487195563
1531,B+ ,Pooja Luthra,4155,5.82M,635735097
1532,A- ,Os Amiguinhos,436,5.82M,1855017888
1533,B+ ,Velhote,2319,5.81M,897059734
1534,B+ ,devinsupertramp,325,5.81M,1392781405
1535,A- ,Chetak,8867,5.81M,2371363485
1536,B ,ckan98,38,5.81M,240126354
1537,B ,DaiFiveTop,1797,5.81M,1939393090
1538,A- ,Funk Bros,732,5.81M,986628773
1539,B ,Mariah Carey,91,5.81M,29569865
1540,A- ,Nessie Judge,438,5.81M,639687610
1541,B+ ,How Ridiculous,278,5.81M,918401735
1542,D- ,100%JC,3,5.8M,6777
1543,B+ ,Gabriela Rocha,244,5.8M,869616381
1544,B ,Kevinho,48,5.8M,598279440
1545,A ,MikelTube,708,5.79M,3649167616
1546,A- ,Levinho,600,5.79M,842594297
1547,B+ ,FaZe Adapt,1469,5.79M,1202133572
1548,B ,Planet Dolan,1325,5.78M,1851376908
1549,A- ,gameranx,2263,5.78M,1946529858
1550,B ,This is Хорошо,893,5.78M,1424882240
1551,A- ,Milusik Lanusik,205,5.77M,2021877105
1552,B+ ,Tata Pereira,1132,5.77M,454944855
1553,A ,Boram Tube Show,169,5.77M,1432354114
1554,B+ ,Maell Lee,128,5.77M,367218760
1555,A- ,ImJayStation,555,5.76M,1135761991
1556,D- ,ROSALÍA,8,5.76M,195632207
1557,A- ,Trimurti Cassettes,3672,5.76M,2405124199
1558,A- ,"Amelia, Avelina & Akim",249,5.76M,1806074571
1559,B ,Gelli Clash,1913,5.75M,890816147
1560,A- ,Anwar Jibawi,127,5.75M,1229831323
1561,A- ,OneRepublicVEVO,166,5.75M,4974383865
1562,A- ,KN Channel,816,5.75M,3673324288
1563,B ,Taciele Alcolea,1433,5.75M,714961302
1564,D- ,Passenger,247,5.75M,3195963452
1565,A- ,Ghiền Mì Gõ,655,5.75M,3251194740
1566,A ,Dangal TV Channel,1053,5.74M,2178732760
1567,A ,Теремок - Песенки д…,507,5.74M,3116214096
1568,A- ,WildBrain en Español,2284,5.73M,1961051313
1569,A ,ItsFunneh,1550,5.73M,5530013519
1570,A- ,RDC Rajasthani,13873,5.73M,2271923324
1571,B+ ,Mini Ladd,1342,5.73M,1424431215
1572,A ,Фиксики,783,5.72M,5370894645
1573,A ,ABP MAJHA,118518,5.72M,2633741128
1574,A- ,ChuChuTV Surprise Eggs Learning Vi…,128,5.72M,3012762733
1575,B+ ,SHORT TIME SECRET,416,5.72M,521081058
1576,A- ,The Voice Kids,769,5.72M,3172645767
1577,B+ ,Carolina Díaz,141,5.71M,390625613
1578,B ,STORROR,401,5.71M,612804315
1579,D- ,Alltime10s,1785,5.71M,2052425094
1580,B+ ,Julien Bam,251,5.71M,1422685068
1581,D- ,MrMrSnB2,268,5.71M,562261882
1582,A- ,Slipknot,190,5.71M,2411614965
1583,A ,Eva Bravo Play,122,5.71M,2009864202
1584,A ,Ennahar tv,172604,5.7M,2747268514
1585,A ,InquisitorMaster,1080,5.7M,2040538861
1586,A- ,Alex Boyko,595,5.7M,1604006201
1587,B ,SECRET INDIAN TV,649,5.7M,565614685
1588,B ,Juan Pablo Jaramillo,338,5.7M,379252934
1589,A ,Dolly and Friends,265,5.68M,1330861248
1590,B- ,BoBoBerry - Lagu anak ank indonesia,100,5.68M,1722430
1591,B+ ,Saskia's Dansschool,322,5.68M,1538271852
1592,B ,Cronosplays,2995,5.68M,793084612
1593,A- ,FavijTV,2394,5.68M,3408765270
1594,B ,Ayurved Tips in Hindi,217,5.68M,412960015
1595,A- ,Free Fire - Brasil,239,5.68M,312667989
1596,A ,Kaji Family,589,5.68M,6942686494
1597,B+ ,Azerrz,278,5.67M,574616978
1598,B ,Thalia,141,5.67M,68406583
1599,B+ ,MoreAliA,1495,5.67M,1114751191
1600,B ,PONY Syndrome,154,5.66M,321121584
1601,A- ,Nussa Official,124,5.66M,920076759
1602,B+ ,Kronno Zomber,238,5.66M,890191398
1603,B+ ,Tri-line,505,5.66M,1407486142
1604,B+ ,Keyblade,297,5.66M,1994246604
1605,B+ ,animasinopal,67,5.65M,407747724
1606,B+ ,Cifra Club,4405,5.65M,1325902454
1607,B+ ,Cute Girls Hairstyles,646,5.65M,1263885006
1608,B+ ,KygoMusic,29,5.65M,495008258
1609,A ,M2,10716,5.65M,3473537256
1610,A- ,Барбоскины,724,5.65M,5881560054
1611,A- ,Movie Talkies,24536,5.65M,3306649523
1612,A- ,OFFICIALTHENX,248,5.65M,349820381
1613,A ,Aadishakti Films,3999,5.64M,2013749997
1614,B+ ,Panda,581,5.64M,642889221
1615,B+ ,BRICO SYMPA,3297,5.63M,1420391558
1616,A ,PrestonPlayz,303,5.63M,1238247643
1617,C+ ,Mark Ronson,19,5.63M,6477645
1618,B+ ,Khan Academy,7640,5.63M,1759780873
1619,B+ ,NASA,4871,5.63M,308831572
1620,B+ ,Real Madrid,4838,5.63M,619535753
1621,B+ ,Sidul Tube,786,5.63M,704161564
1622,A ,Troom Troom Arabic,952,5.63M,2489098625
1623,B+ ,FAMA JAMA,59,5.62M,1342644390
1624,A- ,Sech,113,5.62M,1671723387
1625,B ,Zedd,112,5.62M,137575075
1626,A ,FV FAMILY,563,5.61M,3957083829
1627,A- ,Daftar5,644,5.61M,656027423
1628,A- ,ON,25052,5.61M,1220574066
1629,A- ,Al Nahar TV,51472,5.61M,2217753599
1630,A ,IR GAMES,642,5.61M,1936551957
1631,B+ ,The Voice Thailand,2489,5.61M,3661099821
1632,B+ ,Doctor Mike,242,5.6M,525262523
1633,B+ ,The School of Life,761,5.6M,534079988
1634,A- ,SonyLIV,1861,5.6M,1220674932
1635,B+ ,JerryRigEverything,748,5.6M,1032081483
1636,B+ ,VIRAL,782,5.6M,1349107232
1637,A- ,lunacreciente,1783,5.6M,2553535572
1638,A ,Tayo the Little Bus,1925,5.6M,4575533813
1639,A- ,Insider,6990,5.59M,2894458963
1640,B+ ,DramaAlert,1073,5.59M,1260434465
1641,B+ ,patty dragona,1294,5.59M,754872315
1642,B ,RobTopGames,35,5.59M,238757496
1643,A- ,SaneuB,108,5.59M,1529197884
1644,B+ ,Tamer Hosny,340,5.59M,1763485348
1645,A- ,windy31,2927,5.59M,1751851694
1646,A- ,DIEN QUAN Comedy / Hài,3684,5.59M,3556500100
1647,B+ ,Melliart,84,5.58M,857413448
1648,B+ ,Dosogas,453,5.58M,1087963536
1649,A- ,Maya y Mary - Canciones Infantiles,81,5.58M,363402595
1650,B+ ,Lonrot,131,5.58M,460419904
1651,B+ ,OHA diyorum!,2709,5.58M,3433129778
1652,B+ ,TheAtlanticCraft,3359,5.58M,2490851592
1653,A ,Oddbods - Official Channel,622,5.58M,3881933239
1654,A- ,Erpan1140,1049,5.57M,1011114297
1655,A ,Chouftv - شوف تيفي,75156,5.57M,3290378051
1656,A- ,Hillsong Worship,612,5.57M,2046075349
1657,B+ ,JuStYosS,702,5.57M,691059342
1658,A- ,TGFbro,423,5.57M,1108985933
1659,B+ ,AJ Official,595,5.56M,600474245
1660,A- ,Mobile Legends: Bang Bang,1101,5.56M,848503703
1661,B+ ,Health & Beauty Tips- Gharelu Nusk…,263,5.55M,580408170
1662,A ,PHD Troll,570,5.55M,2578946665
1663,B+ ,Manucraft,4374,5.55M,2070289825
1664,A- ,The Onsu Family,387,5.55M,581133155
1665,B ,Maisa Silva,175,5.55M,176513833
1666,A- ,HISTORY,6726,5.55M,1388457402
1667,A ,Luli Pampín,118,5.55M,1800164374
1668,A- ,Shalimar Telugu & Hindi Movies,78413,5.55M,4024263902
1669,A- ,Khandesh Fun,136,5.55M,1342794770
1670,A- ,TBNRFrags,1897,5.54M,1181448722
1671,A ,Dr. Phil,10105,5.54M,4836233520
1672,A- ,Kluna Tik 2,75,5.53M,832714827
1673,B+ ,دستور DSTOR I,292,5.53M,728727613
1674,A ,Cartoon Network UK,3669,5.53M,4599128255
1675,A ,Лунтик,950,5.53M,8849593427
1676,B+ ,Angga Candra,265,5.52M,726422351
1677,B+ ,Cacahuète & Hexagone,248,5.52M,1088662400
1678,A- ,Venus Regional,2550,5.52M,1528020893
1679,B ,Mr. Tops,296,5.51M,638423566
1680,B+ ,Research Tv India,403,5.51M,574077515
1681,B+ ,bysTaXx,3717,5.51M,1187982282
1682,B+ ,AASTIK - Spiritual Secrets,448,5.51M,358343474
1683,B ,Brandon Rogers,182,5.51M,931811548
1684,B ,Prince Ea,275,5.51M,314465037
1685,A- ,TV Thunder Official,11255,5.5M,3077054452
1686,B+ ,Tiana Wilson,271,5.5M,1329850111
1687,A ,Anand Audio,3970,5.5M,3222808007
1688,A ,TV9 Telugu Live,79162,5.5M,2561856041
1689,B ,The Key of Awesome,1100,5.5M,3271042473
1690,B ,Mister V,34,5.5M,397433685
1691,C+ ,NFrealmusic,28,5.5M,2233243
1692,A- ,Auron,157,5.49M,455723575
1693,B- ,Ricky Martin,18,5.49M,476310
1694,B+ ,JUCA,539,5.49M,752481993
1695, ,Wisin,--,5.49M,-- 
1696,A ,SRK MUSIC,4033,5.49M,1989050906
1697,A- ,The Official Gummibär Channel,456,5.49M,4486245117
1698,A ,Wow Kidz Comedy,1676,5.49M,1885043175
1699,B+ ,Fitz,150,5.49M,604370406
1700,A- ,Heroine Movies 2020,250,5.48M,1216893405
1701,A- ,Antena 3,21251,5.48M,5597287454
1702,A- ,5-Minute Recipes,1169,5.48M,1142942106
1703,B+ ,merrelltwins,489,5.48M,1079220695
1704,B ,SeaNanners Gaming Channel,1839,5.48M,2611824720
1705,B+ ,TheSoundYouNeed,382,5.48M,2439013154
1706,B- ,Usher,99,5.48M,50771230
1707,B- ,Wisin & Yandel,1,5.48M,154680
1708,B- ,CanalKids HD,100,5.47M,538208
1709,B+ ,Yuka Kinoshita木下ゆうか,1878,5.47M,1994090806
1710,A- ,MC Divertida,153,5.47M,1074477284
1711,B+ ,Maneirando,264,5.47M,422364789
1712,A- ,Little Treehouse Nursery Rhymes an…,898,5.47M,1847214065
1713,B+ ,RaeSremmurdVEVO,50,5.47M,3466442719
1714,A- ,Red Bull Batalla De Los Gallos,2838,5.46M,996027003
1715,A- ,AD-WISE MEDIA ACTION MOVIEPLEX,285,5.46M,1301634770
1716,B ,Madelaine Petsch,106,5.46M,175248696
1717,B+ ,GunVsGun,308,5.46M,2000907397
1718,A- ,ExtremeToys TV,276,5.45M,3368222521
1719,A- ,jvnq,5426,5.45M,1837362041
1720,A- ,Little Big,51,5.45M,1560828226
1721,A- ,Humor Multishow,2616,5.44M,1597656713
1722,A- ,Monsta,861,5.44M,1804698087
1723,A- ,PinkyPopTOY,725,5.44M,786541257
1724,A ,NH Studioz,1984,5.44M,1815075580
1725,A- ,RemexMusic,1310,5.44M,4502403483
1726,A ,CNN Indonesia,45901,5.43M,2600222192
1727,A- ,Gustavo Mioto,63,5.43M,1887582782
1728,A- ,Thinknoodles,4329,5.43M,1955566390
1729,B- ,Santa Studio,22,5.43M,339276953
1730,B ,Aruan Felix,669,5.43M,320070052
1731,A ,Луномосик,318,5.43M,2354977526
1732,A ,SuperHero Kids,59,5.43M,1012295882
1733,A ,With Kids[위드키즈],680,5.42M,2130164790
1734,B+ ,Dear Sir,235,5.42M,260563970
1735,A ,Трум Трум СЕЛЕКТ,943,5.42M,1622670221
1736,B- ,Los Ángeles Azules,86,5.42M,15541017
1737,B ,MrPoladoful,436,5.42M,545668095
1738,A ,TLC,7032,5.42M,4300028948
1739,B- ,Cameron Dallas,5,5.42M,7176408
1740,A- ,Kontor.TV,2043,5.42M,5345993219
1741,B+ ,RE - research,289,5.42M,1178488199
1742,B+ ,Ambey Bhakti,4760,5.41M,1729373922
1743,B+ ,Clone,1000,5.41M,471030977
1744, ,Alternative Rock - Topic,--,5.41M,-- 
1745,A ,Fun For Kids TV - Hindi Rhymes,47,5.41M,1884634815
1746,B+ ,LaLiga Santander,33805,5.41M,1339985579
1747,B+ ,Go Ami Go!,116,5.41M,358589651
1748,A- ,انور المحبوب anwar belo…,208,5.4M,1257847835
1749,A- ,Comedy Captain,373,5.4M,1106601540
1750,A- ,"Animal Aid Unlimited, India",285,5.4M,1589121195
1751,B- ,Pedro Capó,24,5.4M,8191966
1752,A- ,Rendy Rangers,1041,5.4M,739796167
1753,B+ ,Yes Theory,303,5.39M,591206529
1754,B ,Ayo & Teo,92,5.39M,350240486
1755,B+ ,Cimorelli,662,5.39M,1280469747
1756,B+ ,FATEH HALILINTAR,122,5.39M,195930484
1757,A- ,OPPO Mobile India,352,5.39M,2202644696
1758,B+ ,steveo,81,5.39M,277085152
1759,A ,Lizos Music,369,5.38M,6112116792
1760,B+ ,Logan G,277,5.38M,432862258
1761,A- ,Music Al Haneen | ميوزك ال�…,1208,5.38M,1996645664
1762,B+ ,Donna the Explorer,147,5.38M,1519836531
1763,A ,Flamingo,1383,5.38M,2816588913
1764,B+ ,Joe Weller,334,5.38M,1085721464
